booking_id,event_name,name,start_time,end_time,attendee_name,created_at,updated_at
7355,Fundraising,Max,2023-03-11 09:00:00,2023-03-11 10:00:00,Logan,2023-03-10 09:00:00,2023-03-11 00:00:00
7355,Fundraising,Max,2023-03-11 09:00:00,2023-03-11 10:00:00,Amelia,2023-03-10 09:00:00,2023-03-11 00:00:00
7355,Fundraising,Max,2023-03-11 09:00:00,2023-03-11 10:00:00,Keith,2023-03-10 09:00:00,2023-03-11 00:00:00
7355,Fundraising,Max,2023-03-11 09:00:00,2023-03-11 10:00:00,Max,2023-03-10 09:00:00,2023-03-11 00:00:00
7147,Fundraising,Keith,2023-03-15 15:45:00,2023-03-15 17:15:00,Mia,2023-03-12 15:45:00,2023-03-13 05:45:00
7147,Fundraising,Keith,2023-03-15 15:45:00,2023-03-15 17:15:00,Emma,2023-03-12 15:45:00,2023-03-13 05:45:00
7147,Fundraising,Keith,2023-03-15 15:45:00,2023-03-15 17:15:00,Keith,2023-03-12 15:45:00,2023-03-13 05:45:00
3027,Fundraising,Keith,2023-05-22 14:30:00,2023-05-22 15:30:00,Alex,2023-05-18 14:30:00,2023-05-18 22:30:00
3027,Fundraising,Keith,2023-05-22 14:30:00,2023-05-22 15:30:00,Olivia,2023-05-18 14:30:00,2023-05-18 22:30:00
3027,Fundraising,Keith,2023-05-22 14:30:00,2023-05-22 15:30:00,Ethan,2023-05-18 14:30:00,2023-05-18 22:30:00
3027,Fundraising,Keith,2023-05-22 14:30:00,2023-05-22 15:30:00,Henry,2023-05-18 14:30:00,2023-05-18 22:30:00
3027,Fundraising,Keith,2023-05-22 14:30:00,2023-05-22 15:30:00,Ava,2023-05-18 14:30:00,2023-05-18 22:30:00
3027,Fundraising,Keith,2023-05-22 14:30:00,2023-05-22 15:30:00,Keith,2023-05-18 14:30:00,2023-05-18 22:30:00
6649,Product Support,Alex,2023-02-02 15:15:00,2023-02-02 16:15:00,Isabella,2023-01-28 15:15:00,2023-01-29 00:15:00
6649,Product Support,Alex,2023-02-02 15:15:00,2023-02-02 16:15:00,Ethan,2023-01-28 15:15:00,2023-01-29 00:15:00
6649,Product Support,Alex,2023-02-02 15:15:00,2023-02-02 16:15:00,Henry,2023-01-28 15:15:00,2023-01-29 00:15:00
6649,Product Support,Alex,2023-02-02 15:15:00,2023-02-02 16:15:00,Mia,2023-01-28 15:15:00,2023-01-29 00:15:00
6649,Product Support,Alex,2023-02-02 15:15:00,2023-02-02 16:15:00,Alex,2023-01-28 15:15:00,2023-01-29 00:15:00
5676,Product Launch,Max,2023-04-27 16:15:00,2023-04-27 17:45:00,Sophia,2023-04-26 16:15:00,2023-04-27 11:15:00
5676,Product Launch,Max,2023-04-27 16:15:00,2023-04-27 17:45:00,Max,2023-04-26 16:15:00,2023-04-27 11:15:00
9990,Product Support,Keith,2023-08-06 08:00:00,2023-08-06 09:00:00,Elizabeth,2023-08-03 08:00:00,2023-08-03 23:00:00
9990,Product Support,Keith,2023-08-06 08:00:00,2023-08-06 09:00:00,Amelia,2023-08-03 08:00:00,2023-08-03 23:00:00
9990,Product Support,Keith,2023-08-06 08:00:00,2023-08-06 09:00:00,Mason,2023-08-03 08:00:00,2023-08-03 23:00:00
9990,Product Support,Keith,2023-08-06 08:00:00,2023-08-06 09:00:00,Keith,2023-08-03 08:00:00,2023-08-03 23:00:00
9551,Quick Sync,Bailey,2023-01-23 08:15:00,2023-01-23 09:45:00,Olivia,2023-01-21 08:15:00,2023-01-21 17:15:00
9551,Quick Sync,Bailey,2023-01-23 08:15:00,2023-01-23 09:45:00,Alex,2023-01-21 08:15:00,2023-01-21 17:15:00
9551,Quick Sync,Bailey,2023-01-23 08:15:00,2023-01-23 09:45:00,Bailey,2023-01-21 08:15:00,2023-01-21 17:15:00
5064,Fundraising,Keith,2023-10-09 10:45:00,2023-10-09 11:15:00,Liam,2023-10-08 10:45:00,2023-10-08 15:45:00
5064,Fundraising,Keith,2023-10-09 10:45:00,2023-10-09 11:15:00,Keith,2023-10-08 10:45:00,2023-10-08 15:45:00
6997,Fundraising,Max,2023-12-16 09:00:00,2023-12-16 10:15:00,Ethan,2023-12-13 09:00:00,2023-12-13 20:00:00
6997,Fundraising,Max,2023-12-16 09:00:00,2023-12-16 10:15:00,Max,2023-12-13 09:00:00,2023-12-13 20:00:00
1116,1:1,Bailey,2023-06-06 12:30:00,2023-06-06 13:00:00,Mason,2023-06-02 12:30:00,2023-06-02 15:30:00
1116,1:1,Bailey,2023-06-06 12:30:00,2023-06-06 13:00:00,Lucas,2023-06-02 12:30:00,2023-06-02 15:30:00
1116,1:1,Bailey,2023-06-06 12:30:00,2023-06-06 13:00:00,Ethan,2023-06-02 12:30:00,2023-06-02 15:30:00
1116,1:1,Bailey,2023-06-06 12:30:00,2023-06-06 13:00:00,Olivia,2023-06-02 12:30:00,2023-06-02 15:30:00
1116,1:1,Bailey,2023-06-06 12:30:00,2023-06-06 13:00:00,Bailey,2023-06-02 12:30:00,2023-06-02 15:30:00
3254,1:1,Alex,2023-07-20 12:15:00,2023-07-20 12:30:00,Max,2023-07-15 12:15:00,2023-07-16 04:15:00
3254,1:1,Alex,2023-07-20 12:15:00,2023-07-20 12:30:00,Ethan,2023-07-15 12:15:00,2023-07-16 04:15:00
3254,1:1,Alex,2023-07-20 12:15:00,2023-07-20 12:30:00,Amelia,2023-07-15 12:15:00,2023-07-16 04:15:00
3254,1:1,Alex,2023-07-20 12:15:00,2023-07-20 12:30:00,Liam,2023-07-15 12:15:00,2023-07-16 04:15:00
3254,1:1,Alex,2023-07-20 12:15:00,2023-07-20 12:30:00,Alex,2023-07-15 12:15:00,2023-07-16 04:15:00
2522,Performance Review,Keith,2023-06-16 13:30:00,2023-06-16 14:30:00,Emma,2023-06-15 13:30:00,2023-06-16 12:30:00
2522,Performance Review,Keith,2023-06-16 13:30:00,2023-06-16 14:30:00,Charlotte,2023-06-15 13:30:00,2023-06-16 12:30:00
2522,Performance Review,Keith,2023-06-16 13:30:00,2023-06-16 14:30:00,Max,2023-06-15 13:30:00,2023-06-16 12:30:00
2522,Performance Review,Keith,2023-06-16 13:30:00,2023-06-16 14:30:00,Ava,2023-06-15 13:30:00,2023-06-16 12:30:00
